6459,Deixar de sinalizar via p/ tornar visívellocal qdo tiver remover veíc da pista,"225, 1",Condutor,Grave,MUNICIPAL/RODOV
6459,Deixar de sinalizar a via p/ tornar visívelo local qdo permanecer acostamento,"225, 1",Condutor,Grave,MUNICIPAL/RODOV
6467,Deixar de sinalizar a via p/ tornar visívelo local qdo a carga for derramada,"225, li",Condutor,Grave,MUNICIPAL/RODOV
6475,Deixar de retirar qualquer objetoutilizado para sinalização temporária da via,226,Condutor,Média,MUNICIPAL/RODOV
6483,Usar buzina que não a de toque breve como advertência a pedestre oucondutores,"227, 1",Condutor,Leve,MUNICIPAL/RODOV
6491,Usar buzina prolongada e sucessivamente a qualquer pretexto,"227, li",Condutor,Leve,MUNICIPAL/RODOV
6505,Usar buzina entre as vinte e duas e asseis horas,"227, Ili",Condutor,Leve,MUNICIPAL/RODOV
6513,Usar buzina em locais e horáriosproibidos pela sinalização,"227, IV",Condutor,Leve,MUNICIPAL/RODOV
6521,Usar buzina em desacordo c/ os padrões e frequências estabelecidaspelo Contran,"227,V",Proprietário,Leve,MUNICIPAL/RODOV
6530,Usar no veículo equip c/ som emvolume/frequência não autorizados pelo Contran,228,Condutor,Grave,MUNICIPAL/RODOV
6548,Usar no veíc alarme/aparelho produz som perturbe sossego púb desac normaContran,229,Condutor,Média,ESTADUAL/RODOV
6556,Conduzir o veículo com o lacre deidentificação violado/falsificado,"230, 1",Proprietário,Gravíssima,ESTADUAL/RODOV
6556,Conduzir o veículo com a inscrição do chassi violada/ta lsificada,"230, 1",Proprietário,Gravíssima,ESTADUAL/RODOV
6556,Conduzir o veículo com o selo vioiado/falsificado,"230, 1",Proprietário,Gravíssima,ESTADUAL/RODOV
6556,Conduzir o veículo com a placaviolada/falsificada,"230, 1",Proprietário,Gravíssima,ESTADUAL/RODOV
6556,Conduzir o veículo com qualquer outroelem de identificação vioiado/falsificado,"230, 1",Proprietário,Gravíssima,ESTADUAL/RODOV
6181,Deixar de dar preferência nasinterseções com sinalização de Dê a Preferência,"215, li",Condutor,Grave,MUNICIPAL/RODOV
6190,Entrar/sair área lindeira sem precaução com a segurança de pedestres eveículos,216,Condutor,Média,MUNICIPAL/RODOV
6203,Entrar/sair de fila de veículosestacionados sem dar pref a pedestres/veículos,217,Condutor,Média,MUNICIPAL/RODOV
7455,Transitar em velocidade superior àmáxima permitida em até 20%,"218, 1",Condutor,Média,MUNICIPAL/RODOV
7463,Transitar em velocidade superior àmáxima permitida em mais de 20% até 50%,"218, li",Condutor,Grave,MUNICIPAL/RODOV
7471,Transitar em velocidade superior àmáxima permitida em mais de 50%,"218, Ili",Condutor,Gravíssima,MUNICIPAL/RODOV
6254,"Transitar em velocidade inferior àmetade da máxima da via, salvo faixa direita",219,Condutor,Média,MUNICIPAL/RODOV
6262,Deixar de reduzir a veloc qdo se aproximar depasseata/aglomeração/desfile/etc,"220, 1",Condutor,Gravíssima,MUNICIPAL/RODOV
6270,Deixar de reduzir a veloc onde o trânsito esteja sendo controlado peloagente,"220, li",Condutor,Grave,MUNICIPAL/RODOV
6289,Deixar de reduzir a velocidade do veículo ao aproximar-se da guia da calçada,"220,111",Condutor,Grave,MUNICIPAL/RODOV
6289,Deixar de reduzir a velocidade doveículo ao aproximar-se do acostamento,"220, Ili",Condutor,Grave,MUNICIPAL/RODOV
6297,Deixar de reduzir velocidade do veículo ao aproximar-se interseção fí sinalizada,"220, IV",Condutor,Grave,MUNICIPAL/RODOV
6300,Deixar reduzir velocidade nas vias rurais cuja faixa domínio não esteja cercada,"220,V",Condutor,Grave,MUNICIPAL/RODOV
6319,Deixar de reduzir a velocidade nostrechos em curva de pequeno raio,"220, VI",Condutor,Grave,MUNICIPAL/RODOV
6327,Deixar de reduzir veloc ao aproximarlocal sinaliz advert de obras/trabalhadores,"220, VII",Condutor,Grave,MUNICIPAL/RODOV
6335,Deixar de reduzir a velocidade sobchuva/neblina/cerração/ventos fortes,"220, VIII",Condutor,Grave,MUNICIPAL/RODOV
6343,Deixar de reduzir a velocidade quandohouver má visibilidade,"220, IX",Condutor,Grave,MUNICIPAL/RODOV
6351,Deixar de reduzir veloc qdo pavimentose apresentar escorreg/defeituoso/avariado,"220,X",Condutor,Grave,MUNICIPAL/RODOV
6360,Deixar de reduzir a velocidade àaproximação de animais na pista,"220, XI",Condutor,Grave,MUNICIPAL/RODOV
6378,"Deixar de reduzir a velocidade de forma compatível com a segurança, emdeclive","220, XII",Condutor,Grave,MUNICIPAL/RODOV
6386,Deixar de reduzir veloc de forma compatível c/ segurança ao ultrapassarciclista,"220, XIII",Condutor,Gravíssima,MUNICIPAL/RODOV
6394,Deixar de reduzir a velocidade nasproximidades de escolas,"220, XIV",Condutor,Gravíssima,MUNICIPAL/RODOV
6394,Deixar de reduzir a velocidade nasproximidades de hospitais,"220, XIV",Condutor,Gravíssima,MUNICIPAL/RODOV
6050,"Avançar o sinal vermelho do semáforo,exc onde houver sinaliz que perm livre conv à direita",208,Condutor,Gravíssima,MUNICIPAL/RODOV
6050,Avançar o sinal de parada obrigatória,208,Condutor,Gravíssima,MUNICIPAL/RODOV
6050,"Avançar o sinal vermelho do semáforo, exc houver sinaliz perm livre conv àdireita - fisc eletrônica",208,Condutor,Gravíssima,MUNICIPAL/RODOV
6068,Transpor bloqueio viário com ou semsinalização ou dispositivos auxiliares,209,Condutor,Grave,ESTAD/MUNIC/RODOV
6068,Deixar de adentrar às áreas destinadas à pesagem de veículos,209,Condutor,Grave,ESTAD/MUNIC/RODOV
7730,Evadir-se da cobrança pelo uso de rodovias e vias urbanas para nãoefetuar seu pagamento,209-A,Condutor,Grave,ESTAD/MUNIC/RODOV
7730,"Deixar de efetuar pagamento, pelo uso de rodovias e vias urbanas, na formaestabelecida",209-A,Condutor,Grave,ESTAD/MUNIC/RODOV
6076,Transpor bloqueio viário policial,210,Condutor,Gravíssima,ESTAD/MUNIC/RODOV
6084,"Ultrapassar veículos motorizados emfila, parados em razão de sinal luminoso",211,Condutor,Grave,ESTAD/MUNIC/RODOV
6084,"Ultrapassar veículos motorizados emfila, parados em razão de cancela",211,Condutor,Grave,ESTAD/MUNIC/RODOV
6084,Ultrapassar veíc motorizados em fila parados em razão de bloqueio viárioparcial,211,Condutor,Grave,ESTAD/MUNIC/RODOV
6084,"Ultrapassar veículos motorizados emfila, parados em razão de qualquer obstáculo",211,Condutor,Grave,ESTAD/MUNIC/RODOV
6092,Deixar de parar o veículo antes detranspor linha férrea,212,Condutor,Gravíssima,MUNICIPAL/RODOV
6106,Deixar de parar sempre que a marchafor interceptada por agrupamento de pessoas,"213, 1",Condutor,Gravíssima,MUNICIPAL/RODOV
6114,Deixar de parar sempre que a marcha for interceptada por agrupamento deveículos,"213, li",Condutor,Grave,MUNICIPAL/RODOV
6122,Deixar de dar preferência apedestre/veic fi motorizado na faixa a ele destinada,"214, 1",Condutor,Gravíssima,MUNICIPAL/RODOV
6130,Deixar de dar preferência a pedestre/veic fi mot que fi hajaconcluído a travessia,"214, li",Condutor,Gravíssima,MUNICIPAL/RODOV
6149,Deixar de dar preferência a pedestre port deficiênciafís/criança/idoso/gestante,"214, Ili",Condutor,Gravíssima,MUNICIPAL/RODOV
6157,Deixar de dar preferência a pedestre/veic fi mot qdo iniciada travessia s/sinaliz,"214, IV",Condutor,Grave,MUNICIPAL/RODOV
6165,Deixar de dar preferência a pedestre/veic não mot atravessando avia transversal,"214,V",Condutor,Grave,MUNICIPAL/RODOV
6173,"Deixar de dar preferência em interseçãofi sinaliz, a veíc circulando por rodovia","215, 1, a",Condutor,Grave,MUNICIPAL/RODOV
6173,"Deixar de dar preferência em interseção fi sinaliz, veíc circulando por rotatória","215, 1, a",Condutor,Grave,MUNICIPAL/RODOV
6173,"Deixar de dar preferem interseção não sinalizada, a veículo que vier da direita","215, 1, b",Condutor,Grave,MUNICIPAL/RODOV
7404,É proib ao pedestre atravessar via áreacruzamento exc onde permitido p/ sinaliz,"254, Ili",Pedestre,Leve,MUNICIPAL/RODOV
7412,É proib pedestre utilizar via em agrupam que perturbe trâns/prátesporte/desfile,"254, IV",Pedestre,Leve,MUNICIPAL/RODOV
7420,É proibido ao pedestre andar fora dafaixa própria,"254,V",Pedestre,Leve,MUNICIPAL/RODOV
7420,É proibido ao pedestre andar fora dapassarela,"254,V",Pedestre,Leve,MUNICIPAL/RODOV
7420,É proibido ao pedestre andar fora dapassagem aérea,"254,V",Pedestre,Leve,MUNICIPAL/RODOV
7420,É proibido ao pedestre andar fora dapassagem subterrânea,"254,V",Pedestre,Leve,MUNICIPAL/RODOV
7439,É proibido ao pedestre desobedecer asinalização de trânsito específica,"254, VI",Pedestre,Leve,MUNICIPAL/RODOV
7447,Conduzir bicicleta em passeios ondenão seja permitida a circulação desta,255,Condutor,Média,MUNICIPAL/RODOV
